Patient_ID,Status,Tumor_Voxels,Tumor_Slices,LBP_Pixels,LBP_Mean,LBP_Variance,LBP_Uniformity,LBP_Entropy,Validation,Error
LUNG1-030,SUCCESS,27916,27,27916,124.18372976071072,8087.236876703586,0.01617449322564956,6.706819116499814,PASS,
LUNG1-031,SUCCESS,15802,18,15802,119.94779141880774,8091.5446100443305,0.015291513840567301,6.830709380640082,PASS,
LUNG1-032,SUCCESS,31792,27,31792,127.2778686462003,8061.244945532822,0.015045362245765064,6.748196037513087,PASS,
LUNG1-033,SUCCESS,54867,30,54867,119.785627061804,8016.6609901306965,0.017018244257110366,6.703143877266969,PASS,
LUNG1-034,SUCCESS,35827,23,35827,131.34264660730733,8086.667587859678,0.014729499075078208,6.801481763606535,PASS,
LUNG1-035,SUCCESS,40435,20,40435,128.60877952269075,7828.580543669332,0.016047615848966832,6.735977507176625,PASS,
LUNG1-036,SUCCESS,15550,15,15550,132.1956270096463,8232.579350651875,0.015341098623876923,6.918645967764142,PASS,
LUNG1-037,SUCCESS,2520,9,2520,122.19642857142856,7756.526892006803,0.02016439909297052,6.21714731914215,PASS,
LUNG1-038,SUCCESS,41837,26,41837,130.4269904629873,8504.378522417219,0.015576006714862523,6.84661633901924,PASS,
LUNG1-039,SUCCESS,2149,9,2149,121.45881805490927,7678.265056025062,0.02166319742254614,6.189754738687956,PASS,
LUNG1-040,SUCCESS,95686,22,95686,127.49452375478126,8057.421949192647,0.01785435689019358,6.904968390294217,PASS,
LUNG1-041,SUCCESS,18371,15,18371,126.64792335746557,8415.389187756577,0.01744861023914818,7.007381558200101,PASS,
LUNG1-042,SUCCESS,60230,28,60230,126.68879296031876,8308.046434256155,0.017457039508934274,6.9809319174146705,PASS,
LUNG1-043,SUCCESS,79148,44,79148,129.39510789912572,8062.801311287443,0.015203241849189088,6.799632521912475,PASS,
LUNG1-044,SUCCESS,42230,27,42230,133.12642671086905,7974.80644110326,0.015833754118389935,6.688420615943974,PASS,
LUNG1-045,SUCCESS,7113,16,7113,108.09953606073387,7459.424086667932,0.024483973827412873,6.4161689150415615,PASS,
LUNG1-046,SUCCESS,43298,23,43298,126.31952977042819,8101.298127064209,0.014737380035774194,6.826416597319499,PASS,
LUNG1-047,SUCCESS,17373,27,17373,121.15673746618315,8095.663627691222,0.015555461658882072,6.833678415298088,PASS,
LUNG1-048,SUCCESS,17789,19,17789,131.98695823261565,7348.532855939624,0.018499106842088858,6.589803486457808,PASS,
LUNG1-049,SUCCESS,927,4,927,124.5631067961165,7774.064787758822,0.019953940807304303,6.135455677142065,PASS,
LUNG1-050,SUCCESS,2105,4,2105,125.98954869358668,6413.8583230742315,0.03523044893675842,6.021597674343399,PASS,
LUNG1-051,SUCCESS,31530,17,31530,127.69765302886141,8290.426981488237,0.01633322198090834,6.910853035952344,PASS,
LUNG1-052,SUCCESS,41810,22,41810,132.58385553695288,8101.404030195825,0.015638149849425895,6.766931763612473,PASS,
LUNG1-053,SUCCESS,28175,19,28175,122.95336291038154,8021.68314885055,0.019003868740891675,6.854398173562554,PASS,
LUNG1-054,SUCCESS,21342,15,21342,122.58363789710431,7758.921760207744,0.016860709024054846,6.770419451521066,PASS,
LUNG1-055,SUCCESS,15856,18,15856,122.98202573158427,8016.834376723858,0.016268658720614695,6.901275723868424,PASS,
LUNG1-056,SUCCESS,45725,30,45725,132.89607435757245,8486.395585464126,0.01970506854364155,7.038961263743513,PASS,
LUNG1-057,SUCCESS,23301,22,23301,131.08669155830222,8585.566236773197,0.01917835154384812,6.90056925705969,PASS,
LUNG1-058,SUCCESS,42870,24,42870,126.25439701422908,7660.383334410144,0.01688960973631556,6.4959992795861154,PASS,
LUNG1-059,SUCCESS,13287,16,13287,118.94498381877023,8209.699163330437,0.017880417358426198,6.572184093309399,PASS,
LUNG1-060,SUCCESS,68855,24,68855,133.8310652821146,8759.456814339721,0.02056213336901067,7.001306593171364,PASS,
LUNG1-061,SUCCESS,2247,7,2247,109.90253671562083,6535.618004245981,0.026111460684661088,5.874275268716235,PASS,
LUNG1-062,SUCCESS,1208,8,1208,115.56953642384106,7826.67397263278,0.019172678829875882,6.3153301289210795,PASS,
LUNG1-063,SUCCESS,4001,12,4001,131.88552861784552,8338.405291703819,0.016918727079040036,6.948195337311944,PASS,
LUNG1-064,SUCCESS,6543,10,6543,124.19899128839982,7852.640518621809,0.016974178671392386,6.621315915952155,PASS,
LUNG1-065,SUCCESS,92381,43,92381,130.8076011301025,8619.761729170354,0.017604933036943937,6.978432595992491,PASS,
LUNG1-066,SUCCESS,6651,14,6651,120.41978649827094,7679.190491068535,0.019515844191450266,6.477415193477068,PASS,
LUNG1-067,SUCCESS,11078,14,11078,124.11518324607329,7623.1743118052,0.0166977444744175,6.743029920349479,PASS,
LUNG1-068,SUCCESS,27244,20,27244,127.96615768609601,7527.217398230311,0.01694818610786644,6.517366604081564,PASS,
LUNG1-069,SUCCESS,108367,51,108367,125.74686943442188,8307.02733650886,0.015299237415348275,6.931932314595754,PASS,
LUNG1-070,SUCCESS,8030,13,8030,129.45803237858033,8149.109758021368,0.016234450821871284,6.757587950238593,PASS,
LUNG1-071,SUCCESS,11732,17,11732,118.97792362768496,8144.031987915067,0.01603428379856109,6.81725086440378,PASS,
LUNG1-072,SUCCESS,28379,38,28379,132.1783713309137,8452.007790419779,0.017168391547035103,6.89451486317267,PASS,
LUNG1-073,SUCCESS,31235,19,31235,122.82487594045142,8272.313944978207,0.015697979723720244,6.9096093487145875,PASS,
LUNG1-074,SUCCESS,42586,42,42586,118.771121964965,8006.863667068814,0.015367561228477225,6.867048691327888,PASS,
LUNG1-075,SUCCESS,27875,34,27875,127.87372197309418,8275.58678031732,0.014836403064610187,6.79055439581701,PASS,
LUNG1-076,SUCCESS,1507,7,1507,149.0517584605176,7127.844699960238,0.026917516971232236,5.997554026799749,PASS,
LUNG1-077,SUCCESS,18990,18,18990,116.5588730911006,8077.582921531551,0.0164650278783684,6.878661734805117,PASS,
LUNG1-078,SUCCESS,3855,9,3855,123.08767833981842,7904.627850770724,0.019425106949217834,6.413626091967219,PASS,
LUNG1-079,SUCCESS,15035,18,15035,121.95563684735616,8297.981337530908,0.016262955442953253,6.955112009773491,PASS,
LUNG1-080,SUCCESS,1745,8,1745,126.29283667621776,7178.443186509142,0.026315383289135554,5.793422615339974,PASS,
LUNG1-081,SUCCESS,2502,8,2502,121.73940847322142,7883.953674789985,0.017875068450435495,6.5130073754711635,PASS,
LUNG1-082,SUCCESS,2072,6,2072,108.45511583011583,7772.1755915889,0.020073213726688632,6.358958706305609,PASS,
LUNG1-083,SUCCESS,4104,8,4104,123.49171539961013,7331.300613626605,0.020054009970779232,6.342309626777913,PASS,
LUNG1-084,SUCCESS,3867,13,3867,127.74476338246703,7787.882358794543,0.019879576203570906,6.314650834834829,PASS,
LUNG1-085,SUCCESS,5236,11,5236,131.43659281894574,7867.656598322363,0.017285864272787384,6.648376380530006,PASS,
LUNG1-086,SUCCESS,325,4,325,104.12615384615385,6839.4148544378695,0.031952662721893496,5.330334304035213,PASS,
LUNG1-087,SUCCESS,1308,7,1308,120.14143730886852,7462.2559893714515,0.0246658998026728,5.9082800822145085,PASS,
LUNG1-088,SUCCESS,7328,16,7328,124.17126091703058,7915.611090003975,0.01847027343824488,6.453394189848369,PASS,
LUNG1-089,SUCCESS,334,4,334,115.80239520958085,6798.9130481551865,0.03160744379504464,5.435521253538487,PASS,
LUNG1-090,SUCCESS,2266,9,2266,112.68181818181819,7750.081902431197,0.02368681199262438,6.178431911062789,PASS,
LUNG1-091,SUCCESS,146739,38,146739,130.7054498122517,8419.036145481332,0.01513929651881422,6.95248650274231,PASS,
LUNG1-092,SUCCESS,24917,22,24917,120.27314684753382,8159.641086910771,0.015211764848436754,6.9051521551032815,PASS,
LUNG1-093,SUCCESS,18953,15,18953,125.95177544452065,7987.239905173656,0.015065865248859077,6.8595305155956865,PASS,
LUNG1-094,SUCCESS,1541,7,1541,134.554834523037,7192.828433798056,0.02186441041975743,6.199315590599939,PASS,
LUNG1-095,SUCCESS,106581,55,106581,128.9111849203892,8732.510027832883,0.02166560058587022,7.000555330176667,PASS,
LUNG1-096,SUCCESS,41794,20,41794,129.73371775852993,7929.057748598714,0.01552159810606011,6.7176082771506636,PASS,
LUNG1-097,SUCCESS,120232,37,120232,128.15469259431765,8732.772388984948,0.02177510251865578,6.97517043675383,PASS,
LUNG1-098,SUCCESS,570,4,570,117.2877192982456,7271.689147429979,0.035032317636195756,5.45188212966078,PASS,
LUNG1-099,SUCCESS,21727,15,21727,119.7153771804667,7968.3491458776625,0.015864188618961536,6.867911887912786,PASS,
LUNG1-100,SUCCESS,1174,5,1174,121.824531516184,7461.1259399423625,0.02271533422913843,6.072914349743573,PASS,
LUNG1-101,SUCCESS,17634,23,17634,119.07111262334126,8003.783646635495,0.01542809215018123,6.802909240384934,PASS,
LUNG1-102,SUCCESS,3766,12,3766,115.71879978757303,7275.839407587637,0.02296168671307608,6.039013395187149,PASS,
LUNG1-103,SUCCESS,3133,11,3133,123.3306734759017,7067.118232454186,0.02326836149759838,6.0907679724402355,PASS,
LUNG1-104,SUCCESS,37862,25,37862,123.2342190058634,7076.358114887116,0.027482237071107335,6.279915510166127,PASS,
LUNG1-105,SUCCESS,110410,33,110410,126.19328865139028,8076.558138093385,0.020690385715259905,6.724117511672698,PASS,
LUNG1-106,SUCCESS,1768,7,1768,130.58257918552036,7889.739787012959,0.019266599782969226,6.44205077058325,PASS,
LUNG1-107,SUCCESS,3900,11,3900,134.39307692307693,8304.77292642998,0.01552689020381328,6.77063552649175,PASS,
LUNG1-108,SUCCESS,527,3,527,102.09487666034154,7141.607696711542,0.050196414490384506,5.073138740835053,PASS,
LUNG1-109,SUCCESS,32125,16,32125,121.46810894941635,8084.114445995911,0.0197194717860982,6.768080983210619,PASS,
LUNG1-110,SUCCESS,510,4,510,112.02156862745099,7416.4995347943095,0.035186466743560164,5.333217589853785,PASS,
LUNG1-111,SUCCESS,926,5,926,123.77753779697623,6654.6589338943595,0.030188600030788035,5.674700065343438,PASS,
LUNG1-112,SUCCESS,2829,12,2829,134.17355956168257,8163.27882016798,0.01635424948467752,6.965119109375628,PASS,
LUNG1-113,SUCCESS,17630,18,17630,123.96403857061827,7735.714532073385,0.01584245901686813,6.733649217521011,PASS,
LUNG1-114,SUCCESS,989,4,989,120.90798786653185,7260.376771381047,0.020769414009105213,6.105498128516061,PASS,
LUNG1-115,SUCCESS,81073,30,81073,126.02339866540031,8035.954616367122,0.01845861713576919,6.832114874836819,PASS,
LUNG1-116,SUCCESS,65461,27,65461,130.0987610943921,8170.066031828489,0.020034071814247597,6.826252485978371,PASS,
LUNG1-117,SUCCESS,13364,23,13364,128.4977551631248,8873.945595080431,0.019466977672395094,6.984449429957888,PASS,
LUNG1-118,SUCCESS,2189,7,2189,121.37322978529009,7879.789890938977,0.02337260454020591,6.089855639522213,PASS,
LUNG1-119,SUCCESS,796,9,796,110.64070351758794,7965.745277897022,0.02420077775813742,5.941974581737711,PASS,
LUNG1-120,SUCCESS,13107,15,13107,126.18135347524225,8524.887764003153,0.017452859916678196,6.941048656901982,PASS,
LUNG1-121,SUCCESS,10747,17,10747,121.71285009770169,8019.139467330559,0.015289363126597273,6.830033320885449,PASS,
LUNG1-122,SUCCESS,4100,10,4100,123.57317073170732,7863.7661094586565,0.016505413444378343,6.589992430993707,PASS,
LUNG1-123,SUCCESS,26311,23,26311,121.345368857132,8286.86566961329,0.015863679329807534,6.975314073623554,PASS,
LUNG1-124,SUCCESS,10759,13,10759,140.5600892276234,7966.207538090375,0.018245408636458592,6.616977133868664,PASS,
LUNG1-125,SUCCESS,15059,19,15059,128.1135533567966,8085.876872551955,0.016640830238876123,6.6123916513537395,PASS,
LUNG1-126,SUCCESS,1700,6,1700,127.8270588235294,7712.320679584775,0.02161799307958477,6.105544081395517,PASS,
LUNG1-127,SUCCESS,4244,7,4244,126.6868520263902,7132.669374727397,0.023873033371501467,6.157153465333447,PASS,
LUNG1-128,FAILED,0,0,0,,,,,FAIL,DICOM SEG not found.
LUNG1-129,SUCCESS,8734,15,8734,120.02152507442179,8431.356990300665,0.016007523377891592,6.966401683743466,PASS,
LUNG1-130,SUCCESS,53150,54,53150,126.66314205079964,8557.391173946897,0.019864200168323205,6.926385023720993,PASS,
LUNG1-131,SUCCESS,4719,11,4719,128.76308539944904,7308.238425402964,0.018406202247154682,6.47671845847399,PASS,
LUNG1-132,SUCCESS,16304,18,16304,123.02306182531895,8312.717083461339,0.017404976147505538,6.9412385628262285,PASS,
LUNG1-133,SUCCESS,489,5,489,119.90184049079755,6922.158053872308,0.03023992037504026,5.5669151758107915,PASS,
LUNG1-134,SUCCESS,997,5,997,126.98696088264794,8294.371946330466,0.023874029309593776,6.050234169398459,PASS,
LUNG1-135,SUCCESS,2385,7,2385,130.68553459119497,7652.415157628258,0.015865230366239026,6.636583731527586,PASS,
LUNG1-136,SUCCESS,5374,11,5374,125.70022329735765,7918.982147326395,0.016435250622267215,6.667965686418351,PASS,
LUNG1-137,SUCCESS,47306,22,47306,130.13431699995772,8024.532798160534,0.015768810952190526,6.925925874103612,PASS,
LUNG1-138,SUCCESS,1121,8,1121,121.43978590544158,7247.138434922941,0.04122497992664571,5.246731184289644,PASS,
LUNG1-139,SUCCESS,2282,10,2282,113.62138475021911,7316.707658380452,0.021299949841805818,6.207837105418878,PASS,
LUNG1-140,SUCCESS,116639,37,116639,128.7976234364149,8415.7410463157,0.01881026649713925,6.879786334136263,PASS,
LUNG1-141,SUCCESS,63582,27,63582,128.1102198735491,8432.39664652144,0.018600057025074695,6.884334017899653,PASS,
LUNG1-142,SUCCESS,77820,26,77820,131.89009252120277,8327.557683903031,0.017430896253411765,6.838637503155516,PASS,
LUNG1-143,SUCCESS,36084,25,36084,123.68831060857997,8284.841354323653,0.016918220084850236,6.935272127438615,PASS,
LUNG1-144,SUCCESS,90038,23,90038,128.89228992203292,8719.69781012088,0.018808719160635902,6.990449370339762,PASS,
LUNG1-145,SUCCESS,13312,13,13312,124.6162109375,7798.159271460314,0.016601675360865847,6.832261852416887,PASS,
LUNG1-146,SUCCESS,3052,9,3052,115.16153342070773,7286.45064352018,0.022527822676920276,6.195612905629009,PASS,
LUNG1-147,SUCCESS,13607,25,13607,127.2750790034541,8536.607729792759,0.016564275250555836,6.908174523549589,PASS,
LUNG1-148,SUCCESS,40027,19,40027,131.85842056611787,8710.634438487727,0.016999544744177787,6.880278677338337,PASS,
LUNG1-149,SUCCESS,264046,37,264046,129.3694697136105,8204.035140252643,0.015733244170024877,6.820100329751494,PASS,
LUNG1-150,SUCCESS,2904,8,2904,133.06473829201104,7784.270602341978,0.01874871934977119,6.415228385450302,PASS,
LUNG1-151,SUCCESS,14532,15,14532,125.31179466006054,8144.727790971324,0.01596813895683124,6.804030100067209,PASS,
LUNG1-152,SUCCESS,2207,8,2207,123.24830086089716,7744.736715508939,0.02251209183450359,6.030972561890556,PASS,
LUNG1-153,SUCCESS,2105,8,2105,122.08503562945367,7527.366165616308,0.02271144938247922,6.1824278754267725,PASS,
LUNG1-154,SUCCESS,1703,9,1703,118.41397533763947,7462.814531642374,0.026372237311173094,5.782264781453154,PASS,
LUNG1-155,SUCCESS,21419,17,21419,125.48797796349035,7602.449771433101,0.015202421396729093,6.802641201213777,PASS,
LUNG1-156,SUCCESS,237,3,237,140.08438818565398,6428.195410279692,0.05036586017198099,5.1349995256017165,PASS,
LUNG1-157,SUCCESS,5385,10,5385,117.76973073351904,8091.706307541236,0.018427645140349107,6.639767368960119,PASS,
LUNG1-158,SUCCESS,485,6,485,168.22268041237112,7722.742166011267,0.08394090764161974,5.186741480690606,PASS,
LUNG1-159,SUCCESS,20398,14,20398,128.36327090891265,7740.804302508332,0.01679751684492618,6.612049072254113,PASS,
LUNG1-160,SUCCESS,1719,8,1719,119.41652123327515,6637.524008607897,0.023130254510973242,6.1024113629484384,PASS,
LUNG1-161,SUCCESS,298,3,298,109.4496644295302,6638.234043511553,0.024368271699473,5.748184626023,PASS,
LUNG1-162,SUCCESS,5596,11,5596,126.35757684060044,7658.935219575047,0.016621568249760754,6.61784435816052,PASS,
LUNG1-163,SUCCESS,47835,26,47835,126.90851886693844,8157.824096970036,0.019876561892788296,6.913993505103267,PASS,
LUNG1-164,SUCCESS,9989,13,9989,126.80168185003504,7453.820215411444,0.016562327079158383,6.518008406663284,PASS,
LUNG1-165,SUCCESS,3118,8,3118,122.95317511225146,7700.670033215647,0.016943971172784317,6.487950580326036,PASS,
LUNG1-166,SUCCESS,9327,16,9327,129.61584646724563,7923.320100556679,0.015454416990603913,6.830225460850762,PASS,
LUNG1-167,SUCCESS,358,3,358,122.04748603351956,8236.475398707906,0.02376642426890546,5.882447409803412,PASS,
LUNG1-168,SUCCESS,22232,14,22232,121.30806944944224,7981.595314516947,0.01659180944551364,6.676275942210568,PASS,
LUNG1-169,SUCCESS,6782,9,6782,120.52993217340017,8158.1836366512525,0.0252720242952336,5.991723772737237,PASS,
LUNG1-170,SUCCESS,13475,18,13475,128.61714285714285,8595.339208905381,0.0174933447151841,6.84997177945549,PASS,
LUNG1-171,SUCCESS,5867,11,5867,119.5997954661667,8022.128910815503,0.018946397429829783,6.556864877282181,PASS,
LUNG1-172,SUCCESS,66929,26,66929,129.9051382808648,8120.086281327155,0.02199045518751825,6.614608698139214,PASS,
LUNG1-173,SUCCESS,74498,33,74498,128.74356358559962,8214.69979111841,0.015425064205654343,6.91767933399799,PASS,
LUNG1-174,SUCCESS,3150,8,3150,126.23587301587301,7774.349760745779,0.02580599647266314,5.864306291536489,PASS,
LUNG1-175,SUCCESS,11619,14,11619,131.1996729494793,7815.750990511852,0.015507785151566216,6.731417516654353,PASS,
LUNG1-176,SUCCESS,1879,6,1879,123.89515699840342,7751.846911084984,0.0249696868075797,5.926179911095618,PASS,
LUNG1-177,SUCCESS,14983,17,14983,124.53574050590669,8391.96066281513,0.01796163663899065,6.986249673925583,PASS,
LUNG1-178,SUCCESS,610,7,610,112.00983606557375,6481.104821284602,0.03228701961838215,5.632312835445308,PASS,
LUNG1-179,SUCCESS,127814,47,127814,128.32713161312535,8445.705086868355,0.01763678325863584,6.97407588552846,PASS,
LUNG1-180,SUCCESS,4635,8,4635,133.95900755124055,7909.25053105388,0.018227477485340305,6.623717430455926,PASS,
LUNG1-181,SUCCESS,51452,31,51452,127.56697504470185,7968.383934618595,0.018620261163204508,6.685571889701121,PASS,
LUNG1-182,SUCCESS,2711,9,2711,126.41792696421986,8106.384909166189,0.02028254630471836,6.875868262096176,PASS,
LUNG1-183,SUCCESS,2708,14,2708,134.75,7839.12620014771,0.015664239007350617,6.677674745184196,PASS,
LUNG1-184,SUCCESS,10493,13,10493,133.09330029543503,7230.57940141149,0.020417590797144954,6.544665804311957,PASS,
LUNG1-185,SUCCESS,13678,16,13678,121.75054832577862,8490.27174081646,0.014923772320576697,6.926690476781942,PASS,
LUNG1-186,SUCCESS,58893,22,58893,130.3024807702104,8474.872185277698,0.019522380080196213,6.971007083691731,PASS,
LUNG1-187,SUCCESS,5926,12,5926,121.64984812689842,7863.1691587687,0.017049801642919894,6.745188518452665,PASS,
LUNG1-188,SUCCESS,859,6,859,122.37369033760186,7471.29807380865,0.022040139263648204,5.999170440010921,PASS,
LUNG1-189,SUCCESS,17681,16,17681,122.43894576098637,7971.2083220377235,0.017203491518832804,6.857933220884611,PASS,
LUNG1-190,SUCCESS,71827,36,71827,133.38427053893383,8457.213425993776,0.01843031702483884,6.82300322688598,PASS,
LUNG1-191,SUCCESS,35573,27,35573,135.10575436426504,8089.038263629203,0.017607090357067888,6.619709287821371,PASS,
LUNG1-192,SUCCESS,482,2,482,118.53941908713693,7936.103217919802,0.024388354195003528,5.859759678029212,PASS,
LUNG1-193,SUCCESS,53893,27,53893,122.19969198226116,7725.144210099399,0.015762258297252335,6.788351636584153,PASS,
LUNG1-194,SUCCESS,13708,17,13708,124.01991537788153,7384.283744025521,0.019293492629506546,6.358714555136956,PASS,
LUNG1-195,SUCCESS,685,6,685,109.85547445255474,6408.529477329639,0.04445841547232138,5.389631989734195,PASS,
LUNG1-196,SUCCESS,101384,33,101384,130.09961137852125,8311.81875862748,0.018514433716414768,6.902028242680487,PASS,
LUNG1-197,SUCCESS,16148,15,16148,136.11574188754025,7539.955578301473,0.016342929340312538,6.600308944437037,PASS,
LUNG1-198,SUCCESS,14238,18,14238,119.85335018963337,8346.933543699673,0.016448280422787134,6.855228013377931,PASS,
LUNG1-199,SUCCESS,43359,23,43359,128.5318157706589,8256.61887636118,0.01787001357260154,6.834348137190926,PASS,
LUNG1-200,SUCCESS,41209,31,41209,133.86947026135067,8507.472806438782,0.017543078772618084,6.96839046167654,PASS,
LUNG1-201,SUCCESS,59215,27,59215,124.63640969348984,8573.543154617932,0.01873228355826468,6.96576598968411,PASS,
LUNG1-202,SUCCESS,3587,11,3587,120.27962085308059,7714.436169580251,0.0214138672088884,6.164829416645992,PASS,
LUNG1-203,SUCCESS,9056,14,9056,122.23995141342756,7661.071950704354,0.016877805472661662,6.66472596253238,PASS,
LUNG1-204,SUCCESS,5823,11,5823,117.91739653099776,7876.298002358133,0.018418879293028358,6.4114359592444385,PASS,
LUNG1-205,SUCCESS,23512,28,23512,123.99200408302144,7571.993131029585,0.01823925474670923,6.661650231639317,PASS,
LUNG1-206,SUCCESS,2909,10,2909,120.26950842213819,7401.873738534563,0.020192309851209147,6.268510981621095,PASS,
LUNG1-207,SUCCESS,20611,18,20611,120.28868080151375,8322.171963962495,0.018024310023931664,6.7292666449702585,PASS,
LUNG1-208,SUCCESS,16433,22,16433,133.9497961419096,7859.730516753914,0.016699432438454384,6.600452440678899,PASS,
LUNG1-209,SUCCESS,13616,13,13616,127.14835487661574,8482.938331606143,0.015584082060781468,6.777863171168443,PASS,
LUNG1-210,SUCCESS,22139,22,22139,128.20199647680562,8512.604393683352,0.019438286921582622,6.978537087408633,PASS,
LUNG1-211,SUCCESS,18262,16,18262,129.53619537838136,8257.142020307463,0.016622504633004548,6.7727468608653965,PASS,
LUNG1-212,SUCCESS,2781,8,2781,123.7141316073355,8119.1527273023485,0.017419663740223156,6.581311073558535,PASS,
LUNG1-213,SUCCESS,5710,15,5710,123.96269702276709,7312.186174162145,0.018105514337153916,6.5486450991065785,PASS,
LUNG1-214,SUCCESS,22896,13,22896,125.36399371069182,8283.617333875573,0.01675684213758344,6.876955599304803,PASS,
LUNG1-215,SUCCESS,892,6,892,114.68385650224215,7137.996465844879,0.01874157936013191,6.353322719009512,PASS,
LUNG1-216,SUCCESS,2000,5,2000,118.013,8342.120831,0.019076,6.643193219977732,PASS,
LUNG1-217,SUCCESS,61853,26,61853,127.39275378720514,8598.63754114186,0.020719295158402255,6.964555655890953,PASS,
LUNG1-218,SUCCESS,45680,23,45680,129.89023642732047,8278.267505373175,0.02146055921647891,6.793115113477278,PASS,
LUNG1-219,SUCCESS,15330,20,15330,131.13561643835618,8155.018855409306,0.015244903490889068,6.9790659222772575,PASS,
LUNG1-220,SUCCESS,22053,20,22053,127.47521879109418,8145.518056820811,0.020075982264308782,6.770158888568896,PASS,
LUNG1-221,SUCCESS,67638,33,67638,130.84226322481447,8263.336173546611,0.020501916019985512,6.786077031272505,PASS,
LUNG1-222,SUCCESS,5520,12,5520,124.6643115942029,7974.776624888417,0.016851107960512497,6.644996755954724,PASS,
LUNG1-223,SUCCESS,3638,12,3638,116.66575041231447,8041.679371220828,0.01557168982588951,6.884091457786151,PASS,
LUNG1-224,SUCCESS,45881,28,45881,127.86913973104335,7947.629526709208,0.016793694020147236,6.884106332754634,PASS,
LUNG1-225,SUCCESS,21865,22,21865,123.91314886805397,7992.187883361557,0.02123245207413494,6.756314565931698,PASS,
LUNG1-226,SUCCESS,8712,13,8712,121.4761248852158,7750.540522724533,0.016136667197899354,6.640956395704734,PASS,
LUNG1-227,SUCCESS,12863,12,12863,122.89038326984374,8173.249276250522,0.01767484653347727,6.770565036601483,PASS,
